X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
89.031,-3865.205,231.67,0.003,0.002,0,0.002,32.2464,0.85527,-0.515235,0.038163,-0.039867,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:13.073,FALSE,
93.726,-3866.294,233.125,0.002,0.001,0,0.002,32.2827,0.855267,-0.515239,0.038171,-0.039888,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:18.953,FALSE,
98.428,-3867.351,234.54,0.003,0.002,0,0.002,32.3185,0.855275,-0.51523,0.038142,-0.039847,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:24.953,FALSE,
103.175,-3868.357,235.912,0.008,0.007,0.002,0.003,32.3532,0.855269,-0.515239,0.038127,-0.039879,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:29.933,FALSE,
107.948,-3869.316,237.247,0.002,0.002,0,0.001,32.3905,0.855278,-0.515223,0.038133,-0.039873,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:36.173,FALSE,
112.729,-3870.227,238.537,0.004,0.003,0,0.002,32.4258,0.855277,-0.515223,0.038143,-0.039894,0.14,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:41.973,FALSE,
117.51,-3871.104,239.77,0.003,0.002,0,0.002,32.4578,0.855273,-0.515233,0.038119,-0.03987,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:47.833,FALSE,
122.332,-3871.952,240.977,0.006,0.005,0,0.004,32.4943,0.855284,-0.515215,0.038085,-0.039912,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:53.873,FALSE,
127.181,-3872.746,242.153,0.006,0.005,0,0.003,32.5317,0.855295,-0.515193,0.038089,-0.039952,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:59.233,FALSE,
132.054,-3873.503,243.295,0.004,0.004,0,0.001,32.5683,0.855302,-0.515176,0.038097,-0.04,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:05.033,FALSE,
136.919,-3874.204,244.368,0.004,0.004,0,0.002,32.5994,0.855298,-0.515185,0.038064,-0.040012,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:10.793,FALSE,
141.806,-3874.861,245.4,0.006,0.005,0,0.003,32.6311,0.8553,-0.515184,0.038028,-0.040007,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:27:16.673,FALSE,
