X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
-297.979,-3246.162,85.177,0.002,0.001,0.001,0.002,18.1174,-0.044013,-0.115061,0.716991,0.68611,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:29.312,FALSE,
-487.395,-3334.834,150.902,0.005,0.003,0.001,0.003,33.4405,-0.290234,-0.011427,0.697264,0.655329,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:36.812,FALSE,
-357.978,-3253.04,59.985,0.003,0.002,0,0.002,30.0794,0.422887,-0.220705,-0.721134,-0.502417,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:43.972,FALSE,
-400.744,-3282.026,-15.043,0.003,0.002,0,0.002,37.7159,0.422477,-0.222417,-0.762524,-0.436578,0.3,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:50.452,FALSE,
-284.706,-3248.231,150.911,0.003,0.002,0,0.003,16.1777,0.476411,-0.34652,-0.564882,-0.57781,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:57.452,FALSE,
-91.575,-3230.897,145.835,0.003,0.003,0,0.002,10.9665,-0.271245,0.308432,0.585129,0.699228,0.17,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:04.672,FALSE,
-15.063,-3223.856,7.376,0.002,0.002,0,0.001,9.3895,-0.13303,0.188154,0.738233,0.633966,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:11.632,FALSE,
-205.169,-3276.103,-90.896,0.007,0.005,0,0.005,14.8577,-0.198567,0.177854,0.749135,0.606413,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:19.072,FALSE,
-200.713,-3242.263,-23.897,0.002,0.002,0,0.001,11.2747,-0.086302,0.002216,0.672138,0.735376,0.25,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:25.892,FALSE,
-81.635,-3225.939,19.564,0.008,0.004,0,0.006,5.9681,0.098075,-0.149904,0.68616,0.705049,0.15,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:33.072,FALSE,
-107.595,-3202.352,43.885,0.004,0.002,0,0.003,7.7633,0.003992,-0.066651,0.731494,0.678571,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:39.632,FALSE,
177.881,-3207.56,-83.273,0.004,0.001,0,0.004,29.5772,0.08081,0.058015,0.835819,0.539918,0.27,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:47.452,FALSE,
120.494,-3191.186,13.004,0.004,0.003,0,0.002,24.7926,0.103708,0.025739,0.821547,0.560039,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:04:54.132,FALSE,
170.606,-3237.721,-45.548,0.005,0.005,0,0.002,20.7736,0.020767,0.111297,0.787987,0.605192,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:01.192,FALSE,
397.561,-3311.488,-176.305,0.006,0.005,0.001,0.002,36.1552,0.019777,0.295656,0.748589,0.593136,0.21,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:08.812,FALSE,
160.518,-3324.931,-207.878,0.005,0.003,0,0.004,23.474,-0.071105,0.302397,0.696564,0.646761,0.16,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:05:16.592,FALSE,
