X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
243.212,-3349.844,124.996,0.004,0.002,0,0.004,12.2031,0.065029,-0.061965,0.642911,0.760655,0.3,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:00.892,FALSE,
249.965,-3341.823,125.058,0.005,0.004,0,0.002,12.2467,0.065085,-0.06199,0.642903,0.760655,0.18,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:06.852,FALSE,
256.61,-3333.472,124.997,0.005,0.003,0,0.004,12.2852,0.06509,-0.062006,0.64292,0.760639,0.19,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:13.172,FALSE,
263.148,-3324.807,124.904,0.003,0.001,0,0.002,12.3229,0.065065,-0.061992,0.64295,0.760617,0.22,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:18.932,FALSE,
258.21,-3324.96,137.141,0.004,0.003,0,0.003,12.4943,0.065091,-0.061954,0.642983,0.760591,0.22,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:24.592,FALSE,
251.852,-3333.607,137.193,0.002,0.002,0.001,0.001,12.4532,0.065023,-0.0619,0.64299,0.760595,0.27,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:30.612,FALSE,
245.371,-3341.931,137.246,0.003,0.003,0,0.002,12.4149,0.064955,-0.061859,0.64298,0.760613,0.24,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:36.592,FALSE,
238.81,-3349.955,137.26,0.002,0.002,0,0.001,12.3744,0.064889,-0.061829,0.642987,0.760614,0.19,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:42.572,FALSE,
232.17,-3357.68,137.287,0.002,0.002,0,0.001,12.342,0.064903,-0.061869,0.642939,0.760651,0.18,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:48.532,FALSE,
225.46,-3365.062,137.285,0.011,0.008,0.001,0.007,12.3015,0.064897,-0.061888,0.642958,0.760634,0.2,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:13:55.412,FALSE,
218.65,-3372.089,137.344,0.002,0.001,0,0.001,12.2652,0.064858,-0.061916,0.642955,0.760637,0.16,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:14:00.492,FALSE,
211.787,-3378.783,137.323,0.014,0.008,0.001,0.012,12.2261,0.06486,-0.06195,0.642977,0.760615,0.27,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:14:06.292,FALSE,
